Label,Type,TrainDelta,TestDelta,AP_Eng,HDG_Mode,ALT_Mode,HDG_Ref,TurnK,ALT_Ref,Pwheel,Throttle,alt
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.4094488189
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.40913917215
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.40814359442
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.40646401737
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.40409105203
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.40100560489
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.39717906636
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.39257544656
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.3871520535
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.38086047943
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.37364752459
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.36545605895
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.35622582328
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.34589417057
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.33439674957
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.32166813196
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.30764238518
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.29225359281
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.27543632473
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.25712605907
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.23725955847
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.21577520274
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.19261328037
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.16771624123
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.14102891283
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.1124986823
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.08207564672
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.0497127336
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7224.01536579417
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7223.97899367119
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7223.94055824375
1,0,0,0,0,0,0,-170.761859631395,41.3066281558584,7180,22.4509162068261,0.835207289407501,7223.90002445067
