method,learning_set,configuration,pta_states,pta_transitions,alphabet_size,declared_alphabet_size,alphabet,declared_alphabet,samples,pta_dot,pta_pdf,pta_nusmv_smv,pta_summary,raw_nusmv_output
MELA-PTA,ascend,pitchwheel,192,191,3,4,p_low; p_med; p_high,p_low; p_med; p_high; no_input,191,Results/Autopilot/RQ2/ascend/PTA/pta_models/MELA/pitchwheel/pta_moore.dot,Figures/Autopilot/model_figures/ascend/PTA/pitchwheel.pdf,Results/Autopilot/RQ2/ascend/PTA/generated_models/pitchwheel/pta_pitchwheel_model.smv,Results/Autopilot/RQ2/ascend/PTA/pta_models/MELA/pitchwheel/pta_summary.txt,Results/Autopilot/RQ2/summary/pta_results/raw_nusmv_outputs/ascend/pta_pitchwheel.txt
MELA-PTA,ascend,throttle,192,191,2,3,t_low; t_high,t_low; t_high; no_input,191,Results/Autopilot/RQ2/ascend/PTA/pta_models/MELA/throttle/pta_moore.dot,Figures/Autopilot/model_figures/ascend/PTA/throttle.pdf,Results/Autopilot/RQ2/ascend/PTA/generated_models/throttle/pta_throttle_model.smv,Results/Autopilot/RQ2/ascend/PTA/pta_models/MELA/throttle/pta_summary.txt,Results/Autopilot/RQ2/summary/pta_results/raw_nusmv_outputs/ascend/pta_throttle.txt
MELA-PTA,ascend,pitchwheel_throttle,192,191,6,7,p_low_t_low; p_low_t_high; p_med_t_low; p_med_t_high; p_high_t_low; p_high_t_high,p_low_t_low; p_low_t_high; p_med_t_low; p_med_t_high; p_high_t_low; p_high_t_high; no_input,191,Results/Autopilot/RQ2/ascend/PTA/pta_models/MELA/pitchwheel_throttle/pta_moore.dot,Figures/Autopilot/model_figures/ascend/PTA/pitchwheel_throttle.pdf,Results/Autopilot/RQ2/ascend/PTA/generated_models/pitchwheel_throttle/pta_pitchwheel_throttle_model.smv,Results/Autopilot/RQ2/ascend/PTA/pta_models/MELA/pitchwheel_throttle/pta_summary.txt,Results/Autopilot/RQ2/summary/pta_results/raw_nusmv_outputs/ascend/pta_pitchwheel_throttle.txt
MELA-PTA,descend,pitchwheel,192,191,3,4,p_low; p_med; p_high,p_low; p_med; p_high; no_input,191,Results/Autopilot/RQ2/descend/PTA/pta_models/MELA/pitchwheel/pta_moore.dot,Figures/Autopilot/model_figures/descend/PTA/pitchwheel.pdf,Results/Autopilot/RQ2/descend/PTA/generated_models/pitchwheel/pta_pitchwheel_model.smv,Results/Autopilot/RQ2/descend/PTA/pta_models/MELA/pitchwheel/pta_summary.txt,Results/Autopilot/RQ2/summary/pta_results/raw_nusmv_outputs/descend/pta_pitchwheel.txt
MELA-PTA,descend,throttle,192,191,2,3,t_low; t_high,t_low; t_high; no_input,191,Results/Autopilot/RQ2/descend/PTA/pta_models/MELA/throttle/pta_moore.dot,Figures/Autopilot/model_figures/descend/PTA/throttle.pdf,Results/Autopilot/RQ2/descend/PTA/generated_models/throttle/pta_throttle_model.smv,Results/Autopilot/RQ2/descend/PTA/pta_models/MELA/throttle/pta_summary.txt,Results/Autopilot/RQ2/summary/pta_results/raw_nusmv_outputs/descend/pta_throttle.txt
MELA-PTA,descend,pitchwheel_throttle,192,191,6,7,p_low_t_low; p_low_t_high; p_med_t_low; p_med_t_high; p_high_t_low; p_high_t_high,p_low_t_low; p_low_t_high; p_med_t_low; p_med_t_high; p_high_t_low; p_high_t_high; no_input,191,Results/Autopilot/RQ2/descend/PTA/pta_models/MELA/pitchwheel_throttle/pta_moore.dot,Figures/Autopilot/model_figures/descend/PTA/pitchwheel_throttle.pdf,Results/Autopilot/RQ2/descend/PTA/generated_models/pitchwheel_throttle/pta_pitchwheel_throttle_model.smv,Results/Autopilot/RQ2/descend/PTA/pta_models/MELA/pitchwheel_throttle/pta_summary.txt,Results/Autopilot/RQ2/summary/pta_results/raw_nusmv_outputs/descend/pta_pitchwheel_throttle.txt
